"","pid","sex","birth_year","race","hispanic","home_language","US_born","grade_w1","suspension_this_year","ever_suspended","grade_last_suspended","extrav","agree","consc","neuro","open","anger","optimism","anxiety","race_complex","extrav_c","agree_c","consc_c","neuro_c","open_c","anxiety_c","anger_c","optimism_c"
"2","57101310","female",76,"BLACK","no","English","yes","11",NA,"no",NA,3.25,2,2.75,2.25,3.75,3,3.25,3.25,"Black",0.195191804137209,-0.90231408745745,-0.231703325477874,-0.706909531290914,0.442033254778738,0.394769573186698,-0.0362005760670332,0.407845640219953
"4","57103869","male",77,"BLACK","no","English","yes","12",NA,"yes","9",2.25,2.75,3.5,3.5,3,2.75,2,2.5,"Black",-0.804808195862791,-0.15231408745745,0.518296674522126,0.543090468709086,-0.307966745221262,-0.355230426813302,-0.286200576067033,-0.842154359780047
"8","57109625","male",81,"OTHER","no","English","yes","8","no","yes","7",2.5,2.5,2.25,3,2.75,3,2.75,2.75,"White",-0.554808195862791,-0.40231408745745,-0.731703325477874,0.0430904687090861,-0.557966745221262,-0.105230426813302,-0.0362005760670332,-0.0921543597800469
"10","57111071","male",81,"OTHER","no","English","yes","8","no","no",NA,3.5,2.5,3,3,3.5,2,2.5,3,"White",0.445191804137209,-0.40231408745745,0.018296674522126,0.0430904687090861,0.192033254778738,0.144769573186698,-1.03620057606703,-0.342154359780047
"12","57113943","male",79,"BLACK","no","English","yes","9","no","yes","8",3.25,3.5,3.25,3,3.5,3,3,3,"Black",0.195191804137209,0.59768591254255,0.268296674522126,0.0430904687090861,0.192033254778738,0.144769573186698,-0.0362005760670332,0.157845640219953
"14","57117542","male",79,"OTHER","no","English","yes","9",NA,"yes","9",3,3,3.25,3.25,3.25,3,2.75,2.25,"White",-0.0548081958627913,0.0976859125425502,0.268296674522126,0.293090468709086,-0.057966745221262,-0.605230426813302,-0.0362005760670332,-0.0921543597800469
"16","57118381","female",82,"OTHER","no","English","yes","7","no","no",NA,3.5,2.75,3.75,3.5,3,3.25,2.75,3,"White",0.445191804137209,-0.15231408745745,0.768296674522126,0.543090468709086,-0.307966745221262,0.144769573186698,0.213799423932967,-0.0921543597800469
"17","57118943","female",79,"OTHER","no","English","yes","10","no","no",NA,3,3,2.5,3,3.5,3,3,2.75,"White",-0.0548081958627913,0.0976859125425502,-0.481703325477874,0.0430904687090861,0.192033254778738,-0.105230426813302,-0.0362005760670332,0.157845640219953
"18","57120005","male",82,"OTHER","no","English","yes","7","no","no",NA,3.5,3.25,3,3.25,4,3.25,3,2,"White",0.445191804137209,0.34768591254255,0.018296674522126,0.293090468709086,0.692033254778738,-0.855230426813302,0.213799423932967,0.157845640219953
"19","57120046","male",76,"HISPANIC","yes","English","no","11","no","yes","7",3.5,3.5,3,4,3.25,3.25,3,3.75,"Other",0.445191804137209,0.59768591254255,0.018296674522126,1.04309046870909,-0.057966745221262,0.894769573186698,0.213799423932967,0.157845640219953
